x,y,label
2.562292,0.2160598,0
1.453281,-1.4223828,0
-1.8368076,0.7653686,1
0.1801821,-1.5362732,0
1.2458236,-1.4517916,0
1.8163316,-1.0261084,0
-1.386556,-1.1493027,1
-0.17803876,-1.314651,1
-2.0527744,0.23196292,1
-0.26566973,-1.2205393,1
-2.1073463,0.3023965,1
-0.44685197,-1.5348394,1
1.3278873,-1.4348598,0
-1.7431948,1.6393872,1
-1.9369384,-0.67839015,1
1.4197787,-1.0639372,0
0.7901561,-1.1517558,0
0.16259927,0.4192407,0
-1.1338602,-0.9104373,1
2.1299815,-0.13437867,0
-1.914851,0.8631363,1
-1.3106703,-1.1922241,1
-1.7187324,0.36655807,1
1.5557394,0.8471999,0
-2.174016,-0.12541795,1
-0.5917934,-0.66554904,1
-1.0777296,-1.2437474,1
-1.8557528,0.95062137,1
3.0240839,0.7160387,0
0.82367945,-1.6379089,0
-0.72227657,0.71086895,1
-1.374465,0.10227445,1
2.603633,-0.07742223,0
2.386999,-0.25642553,0
-0.7209545,-1.4133567,1
1.9898602,-0.32147083,0
1.2375681,0.2639988,0
2.56258,-0.12816538,0
-0.44990742,-0.9091196,1
-1.9196613,1.008851,1
2.4518676,-0.1132298,0
2.6374605,2.0513792,0
1.5989553,-1.2623901,0
2.0467381,0.26286942,0
-2.1849182,0.1903785,1
-1.2537353,1.4209757,1
-1.9658579,1.0711448,1
2.422238,2.0232906,0
-1.6231225,2.0996091,1
-2.0680828,0.04950485,1
-2.1545305,-0.45361048,1
-0.6519103,-0.8316399,1
2.9845414,0.781412,0
-0.4667098,-0.60114574,1
-2.0908685,-0.35497162,1
-2.149197,-0.006389755,1
3.4934769,0.71993357,0
-0.8800533,0.9391262,1
0.69624084,-0.05639553,0
-1.6862571,-0.69275343,1
-0.15683696,-1.5650504,0
-2.2344232,-0.18598585,1
-2.1589231,0.24045807,1
-1.6101902,-0.31183228,1
1.3458152,-1.39943,0
-0.15123515,0.56587166,1
-0.40819395,1.7343838,1
-1.9361372,1.1156139,1
1.6544414,-1.2648492,0
-1.5682375,2.3725588,1
2.2868843,-0.6930061,0
-1.4986625,-0.7570323,1
-1.3333789,3.111321,1
-0.94415575,-1.0894899,1
-2.0191836,-0.02292104,1
-0.7477733,-0.3071381,1
0.40773827,-1.4073421,1
2.53265,-0.053850845,0
-0.9114885,-0.8211646,1
-1.7426109,-0.7792043,1
0.628438,-1.4710062,0
0.58270097,-0.07124262,0
-1.160644,2.4226828,1
1.6434531,-0.7217326,0
0.64370286,-0.22400689,1
1.8835804,-0.38832024,0
-1.4542122,0.9180659,1
0.91175574,0.38988727,0
4.201709,1.59325,0
2.2268832,-0.43482012,0
-0.79066116,3.33505,1
-1.2832024,-1.2202735,1
-1.6449744,-0.869087,1
